name,whatsapp_no
Bimal,8801777777254
Rahul,1777777254
John Smith,+1 202-555-0123
Emma Johnson,+44 20 7946 0958
Liam Brown,+1 416-555-0198
Aarav Patel,98765 43210
Olivia Wilson,+61 412 345 678
Noah Schmidt,+49 1512 3456789
Camille Dubois,+33 6 12 34 56 78
Hiroshi Tanaka,+81 90-1234-5678
Lucas Oliveira,+55 11 98765-4321
Ethan van der Merwe,+27 82 123 4567
Santiago Ramirez,+52 55 1234 5678
Giulia Rossi,+39 345 678 9012
Ivan Petrov,+7 912 345 6789
Wei Zhang,+86 139 1234 5678
Fatima Al-Farsi,+971 50 123 4567
Bikash Chowdhury, +8801777099139
