date,company_name,organization_type,brand,category,department,buyer_name,designation,country_of_origin,buyer_email_id,whatsapp_number,phone_number,website,payment_term,fabric_reference,mailing_address,visiting_address,linkedin_profile,remarks,concern_fe_rep
2020-04-26,Brown-Clark,Retailer,Inc,Apparel,Sales,Timothy Lawson,Executive,Dominica,owenchelsey@example.net,998.225.6247,(753)553-3457,https://www.montgomery.org/,Advance,"Couple, Realize","8654 Michael Ways, North Theresashire, VA 07697","Unit 1935 Box 8604, DPO AE 12777",https://kennedy.com/,Fast payment,Angelica Dixon
2021-09-14,Brown-Figueroa,Retailer,Ltd,Textile,Design,Karen Trujillo,Executive,Luxembourg,arthurbaker@example.com,001-573-299-4959x6523,001-531-516-2926x839,http://www.moore.biz/,Advance,"Accept, Others","Unit 4932 Box 3155, DPO AA 92107","462 Casey Drives Apt. 089, East Stephanieton, IL 44895",https://www.webster.biz/,Prefers organic,Jill Garcia
2022-11-10,"Salas, Kim and Alexander",Wholesaler,Ltd,Fashion,Sales,Jonathan Mcknight,Manager,Tonga,josephgarza@example.net,+1-683-666-6172x066,423.760.2693,http://gonzalez.biz/,Advance,"Apply, President","735 Kathleen Stream, Carolview, LA 25203","5677 Rachel Ferry, South Ronnietown, ID 72728",http://spears-griffin.com/,Top buyer,Patrick Fleming
2024-04-16,"Torres, Lawson and Garcia",Exporter,and Sons,Accessories,Sales,Jessica Day,Lead,Argentina,wandakim@example.com,(295)448-2106x1938,001-707-827-7314x3041,http://www.roberts.com/,LC at Sight,"Community, Share","1609 Tiffany Shoal Apt. 951, Ericahaven, HI 47646","1948 Ashley Glen, New Matthewfurt, PR 01705",https://hamilton.com/,Prefers organic,Lisa Michael
2021-09-01,"Hill, Nicholson and Jones",Wholesaler,Ltd,Fashion,Export,Tom Adams,Executive,Romania,anthony70@example.net,+1-274-810-4341x252,817.599.1588x7618,https://mclean-stevens.com/,Net 30,"Police, Let","41951 Bowman Tunnel Suite 122, New Kimberlychester, KS 30645","53255 Barrett Loop Suite 455, West Ethan, VA 06453",https://williams.biz/,Long-term client,Kelly Simon
2024-09-03,Franco-Mullins,Retailer,PLC,Fashion,Design,Kenneth Gomez,Manager,Venezuela,lloydjessica@example.net,870-375-9988,6923952564,http://wilson.com/,Advance,"Control, Even","7886 Blake Circle, Timothyburgh, NE 06005","26491 Barnes Ranch, Parkerchester, AS 63502",https://www.taylor-coleman.com/,Fast payment,Laurie Thomas
2021-04-16,Williams-Tucker,Manufacturer,LLC,Accessories,Design,Nicole Todd,Manager,Latvia,katherinecherry@example.com,001-753-604-3540,+1-478-558-3900,http://houston.com/,Net 30,"Ok, Democrat","82842 Erin Path Apt. 251, Loveburgh, ID 93981","61385 Brandi Fields, Landryview, PR 34774",https://www.park.com/,Long-term client,Michelle Morris
2024-04-26,"Gonzalez, Camacho and Edwards",Retailer,Inc,Textile,Export,Joseph Snow,Executive,Bosnia and Herzegovina,ashley57@example.com,2192831793,658-247-9407x2242,http://www.roberts-fuller.com/,Net 30,"Month, Travel","2449 Mason Row, West Joy, WI 20083","2068 Simpson Streets Apt. 253, Jasminetown, ME 92050",http://www.alvarado-may.org/,Bulk buyer,Jessica Howard MD
2022-11-22,"Howell, Johnson and Jimenez",Wholesaler,Ltd,Textile,Design,Michael Peterson,Director,Congo,alexisrojas@example.org,+1-535-259-0734x87170,486-973-0786,https://watkins-olson.com/,Advance,"Husband, Real","71237 Maria Route, Freemantown, MH 87961","420 Hansen Crossroad, North Tony, NJ 44340",http://www.wilson.biz/,Top buyer,Dr. Benjamin Torres
2021-12-28,Murphy Ltd,Retailer,LLC,Apparel,Export,Lisa Lawson,Executive,Nicaragua,michael59@example.com,217-228-9196,(792)337-0016x9316,http://olson.com/,LC at Sight,"May, Nature","738 Sean Skyway, Howeborough, KS 62595","072 Taylor Pass, New Theresa, AL 97864",http://vasquez.com/,Long-term client,Donald Ewing
