date,company_name,organization_type,brand,category,department,buyer_name,designation,coo,buyer_email_id,whatsapp_number,phone_number,company_website,payment_term,fabric_reference_dealing_with,mailing_address,visiting_address,linkedin_profile_link,remarks,concern_fe_representative
2022-05-28,"Adams, Oliver and Martin",Retailer,Inc,Fashion,Sales,Erika Wilson,Executive,Sudan,nharvey@example.com,494-742-2373x65490,+1-873-807-9632,https://johnson-bauer.biz/,Advance,"Pull, Ago","963 Heidi Isle, East Brian, GA 52083","599 Allen Ports Apt. 004, Port Dianaport, WI 33235",http://www.garrison-gamble.net/,Top buyer,John Little
2022-06-19,"Williams, Travis and Allen",Manufacturer,LLC,Textile,Export,Lindsey Fritz,Lead,India,harrisdavid@example.com,236.835.5450,+1-968-459-8558x2742,https://clark.biz/,Net 30,"Key, Floor","1413 Phillips Lodge, Jacobstad, AZ 44752","52216 Reilly Garden, Lake Briannaside, DC 97885",http://www.fowler.com/,Prefers organic,Brandon Williams
2020-05-23,"Nelson, Carter and Horton",Exporter,Inc,Textile,Sales,Austin Rowland,Executive,Liberia,arianabolton@example.net,358.258.6049,456.775.8488x3802,https://www.taylor.com/,LC at Sight,"Evening, Peace","271 Jo Drives, New Kimshire, UT 99176","5308 Sean Mount, Josephstad, MD 37675",https://murray.com/,Fast payment,Amy Rosario
2022-01-09,Arnold-Keith,Manufacturer,LLC,Apparel,Procurement,Andrew Rodriguez,Manager,Syrian Arab Republic,karlcordova@example.org,(444)202-4240,+1-977-670-2223x644,https://www.walker-hays.org/,Net 30,"Themselves, Billion","290 Chelsea River, Leeberg, GU 77335","618 Kimberly Roads Apt. 697, Sarahberg, NY 30551",https://lynch.com/,Bulk buyer,Cassandra Thompson
2020-11-20,Evans Inc,Retailer,Group,Accessories,Sales,Barbara Powers,Manager,Cape Verde,candice21@example.net,(898)706-6803x8771,+1-254-567-3604x5479,https://www.allen.com/,Advance,"Strong, Special","59473 Wheeler Lodge Apt. 029, Wilkersonshire, WI 21371","014 Melissa Glens Apt. 190, South Richard, ND 12164",https://ray.com/,Fast payment,Amber Keller
2023-10-07,Buchanan PLC,Manufacturer,and Sons,Fashion,Design,Mary Porter,Executive,Chad,johnsoncrystal@example.org,503-605-9085,+1-453-489-3130x487,https://www.conway.net/,LC at Sight,"Loss, Hard","4530 Krista Mountains, Jenniferburgh, OR 96695","PSC 6637, Box 3244, APO AE 61220",https://hess.biz/,Long-term client,Oscar Parks
2023-05-19,Walton-Cain,Manufacturer,Ltd,Accessories,Design,Ashley Andrews,Lead,Paraguay,taylorbaker@example.org,716.871.6744x787,551-613-7256,https://reyes.com/,Net 30,"Thank, Last","PSC 1866, Box 3500, APO AA 31763","6827 Richard Court Apt. 254, Ryanmouth, MN 67807",https://www.moore.org/,Bulk buyer,Susan Padilla
2021-08-20,Palmer-Mcdowell,Exporter,Group,Textile,Sales,Jermaine Bailey,Executive,Nigeria,amaxwell@example.net,534-358-5482x507,671.882.1072,http://www.estrada.com/,Net 30,"Place, Fall","USNS Novak, FPO AA 64174","1637 Todd Squares, North Jennifer, AZ 62142",http://www.brown.com/,Prefers organic,Jose Acevedo
2024-01-11,Smith-Bass,Wholesaler,Inc,Accessories,Procurement,Bradley George,Lead,Wallis and Futuna,sflowers@example.com,(619)963-7593x19294,+1-321-743-0559x7671,http://clark.com/,Net 30,"Teacher, Conference","6471 Thomas Causeway, North Jacquelineville, FM 49785","350 Dennis Mills Apt. 551, Ryanberg, NC 54969",http://barajas.com/,Prefers organic,Ana Pitts
2023-01-06,Robinson and Sons,Exporter,Group,Accessories,Sales,Vicki Martinez,Executive,Cayman Islands,amandasullivan@example.org,634-536-6078x494,690-447-6950,https://anderson.com/,LC at Sight,"Capital, Development","509 Morgan Spur Apt. 818, Cruzland, VI 57976","297 Justin Ranch, Walkermouth, DC 59511",http://rodriguez.com/,Prefers organic,Tyler Hart
2020-10-18,"Harris, Miller and Farrell",Manufacturer,Ltd,Textile,Sales,Evan Myers,Manager,Albania,monique40@example.org,(879)500-9421x0754,761.216.8733x55251,http://wilkinson.com/,LC at Sight,"Personal, Describe","61287 Gary Coves, South James, HI 62494","Unit 9974 Box 8676, DPO AE 79996",http://www.carrillo-jenkins.com/,Bulk buyer,Tanya Romero
2023-02-14,Tate-Simpson,Retailer,Group,Apparel,Export,Ryan Goodman,Director,North Macedonia,nlopez@example.net,+1-241-532-7171x58854,(876)708-8444x90055,http://www.pratt.com/,LC at Sight,"Itself, Their","2441 Mitchell Village, East Michaelton, CT 51952","064 Kellie Lane Suite 565, Chenshire, AS 62101",http://glass.com/,Fast payment,David Velazquez
2022-02-14,Donaldson-Hernandez,Retailer,LLC,Accessories,Export,Alison Bowman,Lead,Nepal,foxian@example.net,860-823-3715,9667281987,http://www.griffith-mack.com/,Net 30,"Kind, According","132 Vasquez Expressway Suite 794, Lake Anthonyport, NM 25552","189 Sanders Islands Apt. 332, Lorishire, LA 12367",http://www.lopez.com/,Top buyer,Sarah Meyers
2020-06-02,Obrien Ltd,Wholesaler,Inc,Textile,Procurement,Phillip Landry,Executive,Nepal,keykristi@example.org,636.441.5590x434,545.440.7852x1596,http://www.brown.com/,Net 30,"As, You","927 Richard Pines Apt. 163, East Christopherville, PW 90208","8305 Garrett Tunnel, South Anthonyshire, NM 03701",https://www.zuniga.com/,Long-term client,Heidi Johnson
2021-05-04,"Terry, Orr and Lee",Exporter,Inc,Apparel,Sales,Randy Powell,Lead,Bhutan,michael51@example.com,(984)945-4616x51171,463-887-7266,http://mitchell.biz/,Net 30,"Message, Building","3812 Denise Ranch Apt. 441, West Rosstown, CO 42286","2842 Samantha Brook, New Jessicaberg, HI 10475",https://www.mcmahon.com/,Long-term client,Kyle Glass
2023-05-28,Meyer Inc,Manufacturer,LLC,Textile,Export,Nicholas Lawrence,Manager,Saint Martin,thompsoncameron@example.org,+1-303-849-5347,(404)456-3378,https://martinez.com/,Advance,"East, Stay","164 Maria Parkway Apt. 151, West Dale, RI 57799","9263 Archer Freeway, North Carla, MH 53528",https://haynes.com/,Prefers organic,Jennifer Barber
2020-02-12,"Kane, Garcia and Calderon",Manufacturer,Ltd,Apparel,Procurement,Ronald Wong,Director,Lithuania,pedwards@example.org,(865)843-5886,903.367.8069x8671,http://www.ford.com/,Net 30,"Site, Season","Unit 6529 Box 0872, DPO AA 77583","043 Maddox Ford Suite 827, East Tracyfort, GA 08286",http://meyer-norman.com/,Bulk buyer,Christopher Mack
2021-03-30,"Watkins, Clark and Johnston",Retailer,Inc,Apparel,Sales,Jennifer Daniels,Manager,Slovakia (Slovak Republic),ejohnson@example.net,985.372.1048,001-643-663-8051x354,https://www.morris.net/,Advance,"Call, Major","14155 Jessica Shoals Apt. 616, Donnaside, OR 60608","0425 White Via, Port Heather, SC 18599",https://johnson-livingston.com/,Prefers organic,Betty Gates
2022-11-20,Burns-Garcia,Wholesaler,and Sons,Textile,Sales,Robin Farmer,Executive,Falkland Islands (Malvinas),tracyharris@example.net,370-475-2961,270.627.0599x9414,https://www.freeman.biz/,Advance,"Phone, Indeed","Unit 2628 Box 9092, DPO AP 78172","521 Ferguson Summit, Lake Davidton, DE 25565",http://jimenez.biz/,Prefers organic,William Johnson
2021-06-04,"Taylor, Martinez and Mckinney",Wholesaler,Ltd,Accessories,Sales,Jacob Duncan,Lead,Indonesia,xjohnson@example.org,939-664-6062,5086691574,https://moreno.com/,Advance,"Member, Over","USCGC Harrison, FPO AA 28012","USNS Lopez, FPO AP 24579",https://tran-love.com/,Prefers organic,Leah Scott
