date,company_name,organization_type,brand,category,department,customer_name,designation,country_of_origin,customer_email_id,whatsapp_number,phone_number,website,payment_term,fabric_reference,mailing_address,visiting_address,linkedin_profile,remarks,concern_fe_rep
2022-10-15,"Richmond, Cooper and Mullins",Wholesaler,Ltd,Apparel,Sales,Kayla Gonzales,Manager,Netherlands Antilles,harperwilliam@example.org,6809519152,730.978.1098,https://www.brock-leon.com/,Advance,"Whose, Audience","306 Jennifer Points, Colonstad, FM 68420","39377 Michael Field, Chelseafort, MO 20692",https://howard.info/,Fast payment,Oscar Decker
2021-09-02,Gray-Diaz,Wholesaler,and Sons,Accessories,Procurement,Lisa Benson,Manager,Lao People's Democratic Republic,robertmason@example.com,(533)371-2102,388-312-3754x5547,http://dean-hernandez.com/,LC at Sight,"Money, Store","042 Freeman Ramp, North Christopher, DC 62722","USNS Dillon, FPO AE 62033",https://jackson.com/,Top customer,Johnathan Guzman
2020-10-26,"Smith, Williams and Gonzalez",Wholesaler,Inc,Accessories,Design,Lisa Reed,Manager,Madagascar,awalker@example.net,(524)884-6840x0015,4196275650,https://martin.biz/,Advance,"Meeting, Daughter","USNV Gray, FPO AP 93802","8179 Hurley Place, Josephmouth, NJ 10961",https://schwartz-williams.info/,Prefers organic,Judy Padilla
2022-06-24,Schmidt Inc,Wholesaler,Group,Apparel,Procurement,Carrie Holmes,Executive,Samoa,kvillanueva@example.net,001-390-219-5189x8603,(338)271-5318,http://www.flores-brown.info/,Advance,"Different, Ball","842 Janice Gardens, South Michealtown, MA 62616","Unit 8032 Box 4674, DPO AP 47651",https://copeland-hoffman.info/,Long-term client,Shirley Fisher
2025-03-14,Holmes and Sons,Retailer,PLC,Apparel,Design,Teresa Sheppard,Executive,Netherlands Antilles,jeremiahcannon@example.com,+1-982-363-7418x22126,8817408836,http://gonzalez-miles.com/,Advance,"Shake, Send","83042 Johnson Lodge Suite 862, Andersonville, CT 02136","033 Wallace Summit Suite 049, Jaimeview, MS 71900",http://mitchell.com/,Top customer,Shannon George
2022-02-05,Jackson-Green,Exporter,PLC,Apparel,Export,Richard Avila,Director,Bahrain,billy82@example.com,665-959-9492x7512,330-808-4921x8290,https://hughes.net/,Advance,"Experience, Gas","57848 Elizabeth Keys, South Williefort, VA 12153","9229 Davis Mall, Snowburgh, NC 73189",http://www.taylor-johnson.net/,Top customer,Craig Rodgers
2020-12-30,Jordan-Griffith,Manufacturer,and Sons,Textile,Design,Nicholas Hall,Lead,Dominica,michellesantos@example.net,7865272570,864.628.5493x138,https://www.allen.com/,LC at Sight,"Firm, East","620 Fleming Square Suite 094, Lake Allisonbury, NE 37814","043 Blanchard Locks Apt. 740, Carneyland, RI 54438",http://davis.com/,Bulk buyer,Jeanette Alvarez
2021-08-28,"Olson, Thompson and Guzman",Exporter,Group,Textile,Export,Caitlyn Wilson,Director,Mali,lyonsrichard@example.com,+1-444-518-4761,(752)511-1655,http://lopez.com/,Net 30,"Firm, Treat","30144 Patrick Terrace Suite 972, Port Stephanie, FM 62326","3025 Riley Squares, Jillview, MN 83813",https://merritt.com/,Fast payment,Danielle Watkins
2020-12-07,Stein-Hayes,Wholesaler,Inc,Textile,Procurement,Todd Burns,Manager,Thailand,jharrell@example.org,(682)728-5315,532.772.2451x1425,http://alexander.net/,Advance,"Show, Job","7107 Leroy Crest Suite 466, North Amybury, NV 27778","7186 Simon Meadows, Jacobhaven, MP 41191",https://fisher-mccullough.org/,Fast payment,Mandy Roach
2021-02-06,"Byrd, Davidson and Dominguez",Manufacturer,Inc,Fashion,Sales,Mike Sparks,Director,Tunisia,christianbrock@example.org,001-291-651-5963x2452,+1-795-836-8455,http://david-davis.com/,Advance,"Wind, Floor","586 Robinson Parks Suite 673, Velasquezland, AR 71879","8894 Erika Road, West Carrie, NJ 72788",http://mercado-cruz.net/,Bulk buyer,Gary Duncan
