date,company_name,organization_type,brand,category,department,customer_name,designation,country_of_origin,customer_email_id,whatsapp_number,phone_number,website,payment_term,fabric_reference,mailing_address,visiting_address,linkedin_profile,remarks,concern_fe_rep
2023-08-06,Lowe-Schmitt,Retailer,and Sons,Textile,Design,Paul Brooks,Executive,Ghana,brandi76@example.net,(790)495-9346x6596,+1-774-988-3046x942,https://www.brown.org/,LC at Sight,"Dinner, Different","174 Jones Divide, South Joycechester, MA 17856","494 Carolyn Trail Apt. 279, East Linda, MP 66027",https://hernandez.com/,Top customer,Katelyn Estes
2023-07-23,Adkins Ltd,Exporter,PLC,Apparel,Export,Sarah Gutierrez,Manager,Cayman Islands,gallagherstephanie@example.net,001-507-311-0858x773,+1-438-994-3990x65653,https://www.brown-lang.com/,Net 30,"Build, Movie","724 Jamie Cove, Marcusfurt, NY 89274","008 Kramer Meadow, Susanville, NE 80267",http://www.phillips-patterson.com/,Prefers organic,Michelle Tapia
2023-06-16,Bryan-Avila,Exporter,Group,Textile,Export,Stacey Patel,Executive,Saudi Arabia,qevans@example.net,+1-682-371-8611,820.606.6981x92276,http://miller.biz/,LC at Sight,"Everything, Plant","USCGC Diaz, FPO AE 73717","USCGC Levine, FPO AA 15617",https://douglas.com/,Prefers organic,Mr. Thomas Baker
2021-01-03,Martinez-Odonnell,Wholesaler,PLC,Fashion,Export,Audrey Hancock,Executive,Sri Lanka,elizabethhughes@example.com,933.328.6918x35734,001-976-499-4689x79583,http://bowman-williams.com/,Net 30,"Conference, Your","500 Zachary Coves Apt. 776, Port Marcton, PA 38827","Unit 0536 Box 6604, DPO AE 44863",https://www.espinoza-rodriguez.info/,Fast payment,Michael Smith
2021-07-20,"Edwards, Miller and Lambert",Manufacturer,PLC,Accessories,Sales,Heather Villarreal,Executive,Cape Verde,sullivankathleen@example.org,737.481.8031x41665,+1-385-855-9445,http://walters.com/,LC at Sight,"For, Once","5181 Stevens Heights Suite 543, Pachecoview, AS 63236","81287 Jared Trail, Hernandezside, KY 95835",https://www.ellis.info/,Top customer,James Lynch
2022-05-12,Fitzpatrick-Johnson,Manufacturer,PLC,Textile,Export,Juan Goodwin,Director,Wallis and Futuna,davidstone@example.org,525.230.3141,814.866.3065x136,https://www.chapman.com/,Net 30,"Deal, Focus","59542 Brooks Terrace, Port Evan, UT 06812","91923 Myers Path, Tonymouth, TN 12178",https://gould.com/,Top customer,Miss Debbie Davis MD
2021-12-13,Vance Inc,Manufacturer,Group,Textile,Procurement,Sarah Chandler,Manager,Mexico,lindabenson@example.net,(573)377-1321x81268,(268)689-1052,http://www.barton.com/,Net 30,"Like, Everybody","7383 Lambert Mount Apt. 415, Raybury, IL 26512","26410 Wilson Stream Suite 811, New Alexandra, IA 61207",https://www.adams.info/,Bulk buyer,Lindsey Peters
2020-07-04,Taylor-Jimenez,Manufacturer,Ltd,Accessories,Export,Danielle Holden,Director,Wallis and Futuna,rosegay@example.net,2438506398,900-891-6233x606,https://www.young.com/,Net 30,"Key, Least","551 Fletcher Extension Apt. 104, North Williamtown, PW 77645","651 Jessica Mews, North Kevin, OR 66592",http://www.frazier.com/,Top customer,Lisa Schmitt
2025-01-13,"Smith, Chang and Peck",Wholesaler,and Sons,Fashion,Procurement,Joseph Taylor,Manager,Turkmenistan,jonathanbishop@example.org,609-557-5016,937-245-2379x905,https://www.anderson-cruz.org/,Advance,"Serve, Financial","8384 Carpenter Land, West Luke, DE 44227","85934 Tiffany Loaf, Michaelborough, AK 35244",https://www.smith-young.com/,Bulk buyer,Steven Phillips
2020-09-06,Murphy Ltd,Retailer,Ltd,Textile,Design,Tracie Kramer,Manager,Cuba,garrettcox@example.org,+1-262-729-5238x45950,646-667-0658x35686,http://day-ho.com/,Net 30,"Weight, Today","42793 Garcia Stravenue, Morrisstad, SD 13675","USS Norris, FPO AP 57189",http://www.schneider-powers.net/,Long-term client,Taylor Petty
2024-01-29,"Stewart, Lowe and Shelton",Exporter,Ltd,Apparel,Design,Shannon Smith,Lead,Slovenia,matthew09@example.net,8629528601,307.454.1157,https://huang.net/,LC at Sight,"Ago, Option","3206 Foley Pine Suite 378, South Jeanette, WI 85273","698 Megan Estates Apt. 081, Justinmouth, VT 56689",https://www.ryan.com/,Fast payment,Cynthia Gross
2022-12-28,"Johnson, Nash and Dorsey",Manufacturer,LLC,Fashion,Design,Megan Mckee,Lead,American Samoa,lchristian@example.org,+1-621-733-5567x1003,001-954-418-4515x19010,https://www.brown-johnson.com/,Net 30,"Step, Get","848 Wise Wells Suite 605, East Aaron, NJ 71448","6686 Brandon Meadow, Nicolefurt, DC 28921",https://www.morgan.com/,Prefers organic,Adam Fisher
2020-10-20,Smith-Simmons,Retailer,and Sons,Accessories,Procurement,Jody Lambert,Lead,Monaco,todd48@example.net,(976)393-2144,001-532-680-1947,http://www.mason-parker.com/,Net 30,"Republican, Trouble","3309 Brandy Row, Paulside, MA 81424","77828 Mark Roads, Pattersonchester, MN 52108",https://barrera-perez.org/,Top customer,Jessica Carpenter
2020-07-26,"Carlson, Oconnell and Smith",Wholesaler,LLC,Fashion,Design,Jennifer Wilson,Executive,Switzerland,kayla70@example.org,001-547-223-5654x10426,356.706.3976x631,http://boyd.com/,Advance,"Court, Suffer","8385 Sara Haven, Ashleyshire, ME 79447","4198 Bonnie Knoll Suite 119, Jasonshire, UT 68257",http://www.chang-black.biz/,Top customer,Garrett Mason
2024-07-24,"Pierce, Ellis and Harrington",Manufacturer,PLC,Accessories,Procurement,Michael Perry,Lead,Slovakia (Slovak Republic),moorekimberly@example.com,634-838-9596x0182,(821)912-5297x393,http://www.allen-rodriguez.biz/,Advance,"Bank, Position","418 Moreno Camp, Lake Sarah, MA 79863","4420 Thomas Heights Suite 391, Vanessashire, PR 87659",https://sparks.info/,Top customer,Amy Smith
